Trial,Entry_Time_s,Detection_Time_s,Stop_Time_s,Detection_Latency_ms,Stop_Latency_ms,Total_Response_ms,Min_Distance_cm,Detection_Success,Notes
1,0.00,0.08,0.45,80,370,450,12.3,✓,
2,0.00,0.09,0.48,90,390,480,11.8,✓,
3,0.00,0.07,0.43,70,360,430,13.1,✓,
4,0.00,0.10,0.52,100,420,520,10.5,✓,
5,0.00,0.08,0.46,80,380,460,12.0,✓,
6,0.00,0.09,0.47,90,380,470,11.5,✓,
7,0.00,,,,,,,✗,Timeout - no detection
8,0.00,0.08,0.44,80,360,440,12.8,✓,
9,0.00,0.09,0.49,90,400,490,11.2,✓,
10,0.00,0.08,0.45,80,370,450,12.5,✓,

